   123/149     3.44G   0.03408    0.0301   0.01116   0.07534        13       640    0.5492    0.8981    0.8624    0.5723   0.02767   0.01743  0.003221
   124/149     3.44G   0.03381   0.03025   0.01102   0.07508        15       640    0.5494    0.8983     0.863    0.5732   0.02763   0.01741  0.003199
   125/149     3.44G   0.03362   0.03009   0.01107   0.07478        23       640    0.5508    0.8988    0.8638    0.5742   0.02759   0.01738  0.003177
   126/149     3.44G   0.03371   0.03024   0.01083   0.07478        17       640    0.5522    0.8995    0.8648     0.575   0.02755   0.01736  0.003156
   127/149     3.44G   0.03358   0.03012   0.01084   0.07455        12       640     0.553    0.8999    0.8655    0.5757   0.02751   0.01733  0.003135
   128/149     3.44G   0.03344   0.02984   0.01098   0.07426        17       640    0.5527    0.8998    0.8663    0.5768   0.02747    0.0173  0.003113
   129/149     3.44G   0.03341   0.02976   0.01083     0.074        14       640    0.5543    0.9004    0.8673    0.5776   0.02743   0.01728  0.003092
   130/149     3.44G   0.03349   0.02971   0.01093   0.07413        23       640    0.5555    0.9012    0.8684     0.579   0.02739   0.01725  0.003072
   131/149     3.44G   0.03329   0.02953   0.01082   0.07363        17       640    0.5571    0.9017    0.8692    0.5802   0.02735   0.01722  0.003052
   132/149     3.44G    0.0332   0.02958   0.01084   0.07362        20       640     0.558    0.9023      0.87    0.5812   0.02731    0.0172  0.003032
   133/149     3.44G   0.03317   0.02948   0.01061   0.07325        13       640    0.5592    0.9027    0.8711    0.5823   0.02727   0.01717  0.003011
   134/149     3.44G   0.03303   0.02963   0.01057   0.07323        18       640    0.5598    0.9031    0.8716    0.5833   0.02723   0.01714  0.002991
   135/149     3.44G   0.03287   0.02925   0.01036   0.07248        17       640    0.5609    0.9034    0.8726    0.5844    0.0272   0.01711   0.00297
   136/149     3.44G   0.03286   0.02936   0.01058   0.07281        16       640    0.5615    0.9035    0.8733    0.5854   0.02716   0.01708   0.00295
   137/149     3.44G   0.03275   0.02938   0.01047   0.07259        16       640     0.562    0.9043    0.8739    0.5864   0.02712   0.01705   0.00293
   138/149     3.44G    0.0328   0.02929   0.01022   0.07231        21       640    0.5629    0.9051    0.8747    0.5875   0.02708   0.01702  0.002909
   139/149     3.44G   0.03248   0.02912   0.01036   0.07196         5       640    0.5642    0.9064    0.8756    0.5888   0.02704   0.01699  0.002889
   140/149     3.44G   0.03279   0.02913   0.01019    0.0721        13       640    0.5651    0.9064    0.8766    0.5898   0.02699   0.01696  0.002868
   141/149     3.44G   0.03259   0.02916  0.009916   0.07167        19       640    0.5655    0.9069    0.8773    0.5909   0.02695   0.01694  0.002848
   142/149     3.44G   0.03258   0.02908   0.01038   0.07203        16       640    0.5672    0.9076    0.8782    0.5921   0.02691   0.01691  0.002827
   143/149     3.44G   0.03233   0.02918   0.01021   0.07172        16       640    0.5687    0.9082    0.8789     0.593   0.02687   0.01688  0.002808
   144/149     3.44G   0.03237   0.02892   0.01011   0.07141        17       640    0.5701    0.9091    0.8796    0.5936   0.02683   0.01685  0.002788
   145/149     3.44G   0.03227   0.02913  0.009935   0.07134        27       640    0.5714    0.9102    0.8806    0.5948   0.02679   0.01682  0.002769
   146/149     3.44G   0.03239   0.02909  0.009978   0.07146        26       640    0.5727     0.911    0.8813     0.596   0.02675   0.01679   0.00275
   147/149     3.44G   0.03243   0.02937  0.009903   0.07171         6       640    0.5732    0.9118     0.882    0.5967   0.02671   0.01676  0.002732
   148/149     3.44G   0.03222   0.02876  0.009992   0.07098        10       640    0.5746    0.9127    0.8828    0.5979   0.02667   0.01673  0.002713
   149/149     3.44G   0.03228   0.02905   0.01004   0.07137        21       640    0.5755    0.9131    0.8839     0.599   0.02663    0.0167  0.002695
