    96/149     8.46G   0.03743   0.03256   0.01425   0.08425        17       640    0.5214    0.8679    0.8247    0.5275   0.02946   0.01848  0.004373
    97/149     8.46G   0.03727   0.03247   0.01481   0.08455        18       640    0.5236    0.8693    0.8256    0.5288   0.02941   0.01845  0.004329
    98/149     8.46G   0.03685   0.03225   0.01421   0.08331        16       640    0.5244    0.8703    0.8268    0.5296   0.02936   0.01842  0.004289
    99/149     8.46G    0.0369   0.03217   0.01411   0.08318        13       640    0.5253    0.8711    0.8281    0.5311   0.02931    0.0184  0.004251
   100/149     8.46G   0.03685   0.03223   0.01391   0.08299        17       640     0.526    0.8711     0.829    0.5323   0.02926   0.01837  0.004214
   101/149     8.46G   0.03669   0.03201   0.01404   0.08274        15       640    0.5276     0.873    0.8305    0.5335   0.02921   0.01834  0.004177
   102/149     8.46G   0.03688   0.03197   0.01391   0.08275        13       640    0.5275     0.874    0.8315    0.5351   0.02916   0.01831  0.004143
   103/149     8.46G   0.03619   0.03193   0.01361   0.08173        12       640    0.5291     0.875    0.8324    0.5363   0.02912   0.01828  0.004112
   104/149     8.46G   0.03651   0.03179   0.01343   0.08172         9       640    0.5299     0.876    0.8333    0.5375   0.02907   0.01825   0.00408
   105/149     8.46G   0.03638     0.032   0.01328   0.08166        22       640    0.5306    0.8769     0.834    0.5388   0.02903   0.01822  0.004052
   106/149     8.46G   0.03651   0.03163   0.01341   0.08155        17       640    0.5314    0.8767    0.8348    0.5397   0.02899    0.0182  0.004024
   107/149     8.46G   0.03618   0.03168   0.01329   0.08115        20       640    0.5322    0.8779    0.8362     0.541   0.02895   0.01817  0.003995
   108/149     8.46G   0.03583   0.03157   0.01307   0.08047        15       640    0.5332    0.8777    0.8372     0.542    0.0289   0.01814  0.003965
   109/149     8.46G    0.0358   0.03168   0.01286   0.08034        11       640    0.5341    0.8784    0.8377    0.5431   0.02886   0.01811  0.003938
   110/149     8.46G   0.03586    0.0314   0.01304    0.0803        14       640    0.5347    0.8789    0.8387    0.5438   0.02881   0.01809   0.00391
   111/149     8.46G   0.03553   0.03139   0.01263   0.07955        16       640    0.5353    0.8798    0.8395    0.5447   0.02877   0.01806  0.003883
   112/149     8.46G   0.03545   0.03096   0.01249    0.0789         9       640    0.5367    0.8806    0.8406    0.5461   0.02873   0.01803  0.003857
   113/149     8.46G   0.03523    0.0311   0.01275   0.07909        23       640    0.5373    0.8811    0.8412    0.5473   0.02868   0.01801  0.003832
   114/149     8.46G   0.03538   0.03112   0.01266   0.07916        16       640    0.5387    0.8824    0.8422    0.5482   0.02864   0.01798  0.003808
   115/149     8.46G    0.0353   0.03094   0.01251   0.07875         9       640    0.5391    0.8825    0.8428    0.5487   0.02859   0.01795  0.003785
